Ticker,Model,Precision,Specificity,Recall,good_model,min_precision_by_time,init_percentage_of_1s,file_created_after_20_03,Model_type,PM_max_to_prevDayClose_ratio_class,PM_max_vs_PM_max_1dayago_class,AH_max_1dayago_to_Close_class,open_to_prev_close_class,day_of_week,high_quad_q_rel_class,Close_to_prevDayClose_class,features_length,PM_max_to_PM_min_ratio_class,Close_to_Close_1_day_ago_class,AH_max_1dayago_vs_prevDayClose_class,PM_min_to_Close_ratio_class,PM_max_to_dayOpen_ratio_class,PM_time_diff_class,dayOpen_to_prev2DayOpen_ratio_class,dayOpen_to_prevDayClose_class,Close_to_prevDayOpen_class,PM_range_to_close_ratio_class,prev2DayClose_to_prevDayClose_ratio_class,high_quad_p_rel_class,PM_min_to_prevDayOpen_ratio_class,Close_to_open_ratio_class,PM_max_to_Close_ratio_class,time_in_minutes,PM_min_to_prevDayClose_ratio_class,PM_max_to_prevDayOpen_ratio_class,PM_min_to_open_ratio_class,dayOpen_to_prevDayOpen_ratio_class,return_1d_to_return_2d_ratio_class,PM_range_to_open_ratio_class,high_slope_rel_class,return_2d_class,hist_close_ratio_class,AH_max_1dayago_vs_PM_max_class,Close_to_prevDayHigh_class,Open_1_day_ago_to_Close_1_day_ago_ratio_class,date_after_0924,FD_1,FD_2,FD_3,STD_10_class,STD_30_class,close_to_High10_class,Close_to_EMA_48_class,Close_class,date_after_0125,ema_ratio2_class,coef_p_vol_rel_class,PM_volume_max_class,close_to_Low20_class,close_to_High20_class,slope_a_vol_rel_class,date_after_1124
MSFT,RF8,0.84,0.9867549668874173,0.15,0.0,0.75,33.64879074658255,0,RF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,DT9,0.8666666666666667,0.993127147766323,0.08609271523178808,-1.0,0.875,26.86302342086586,0,DT,0.0,1.0,1.0,0.0,1.0,0.0,0.0,15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,RF7,0.7948717948717948,0.9649122807017544,0.15270935960591134,1.0,0.8113207547169812,39.391845196959224,0,RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEE,RF4,0.8444444444444444,0.9388646288209607,0.38,-1.0,0.8,42.80762564991335,0,RF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOOG,DT9,0.8,0.9511278195488722,0.31137724550898205,0.0,0.8181818181818182,41.560234725578184,0,DT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNJ,RF3,0.9714285714285714,0.9951690821256038,0.21656050955414013,0.0,0.94,25.68,0,RF,0.0,1.0,1.0,0.0,1.0,0.0,0.0,15,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,RF1a,0.9423076923076923,0.9818181818181818,0.24623115577889448,0.0,0.65,43.98,0,RF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NKE,RF5,0.9743589743589743,0.9947643979057592,0.21965317919075145,0.0,0.81,38.68,0,RF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPM,RF4,0.9411764705882353,0.9819277108433735,0.24242424242424243,0.0,0.85,38.97,0,RF,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOOGL,RF1,0.8428571428571429,0.9473684210526315,0.38064516129032255,-1.0,0.9,42.14,0,RF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
